chunk_id,insurer_code,document_id,doc_type,page_start,current_code,coverage_lines_count,mapped_lines_count,raw_names
6260,DB,22,가입설계서,4,A6200,10,9,상해사망; 보험료납입면제대상보장; 질병사망; 상해수술비(동일사고당1회지급); 골절진단비(치아제외); 암수술비(유사암제외)(최초1회한); 유사암수술비; 항암방사선약물치료비(유사암포함); 혈전용해치료비; 질병수술비(매회지급)
6270,DB,23,가입설계서,4,A6200,10,9,상해사망; 보험료납입면제대상보장; 질병사망; 상해수술비(동일사고당1회지급); 골절진단비(치아제외); 암수술비(유사암제외)(최초1회한); 유사암수술비; 항암방사선약물치료비(유사암포함); 혈전용해치료비; 질병수술비(매회지급)
6292,DB,24,사업방법서,31,A9619_1,5,2,질병수술비(상급종합병원)(동일질병당1회지급); 질병수술비(상급종합병원)(매회지급); 보장강화형암주요치료비(유사암포함)(상급종합병원); 보장강화형암주요치료비(유사암포함)(상급종합병원); 요치료비(유사암포함)(상급종합병원)
6301,DB,24,사업방법서,44,A6200,2,2,암진단비; 암진단비
6303,DB,24,사업방법서,46,A6200,1,1,암진단비
6361,DB,25,상품요약서,39,A9619_1,2,2,질병수술비(상급종합병원)(동일질병당1회지급); 질병수술비(상급종합병원)(매회지급)
6412,DB,25,상품요약서,98,,13,2,항암방사선치료비(연간1회한); 항암약물치료비; 특정항암호르몬약물허가치료비(연간1회한); 유사암수술비; 유사암항암방사선치료비(연간1회한); 유사암항암약물치료비(연간1회한); 슬림형암주요치료비; 항암방사선치료비(연간1회한); 항암약물치료비; 특정항암호르몬약물허가치료비(연간1회한); 유사암수술비; 유사암항암방사선치료비(연간1회한); 유사암항암약물치료비(연간1회한
6415,DB,25,상품요약서,103,A9617_1,12,8,평균해지율및참조순보험요율을적용하여산출한보험금; 상해사망; 항암방사선약물치료비(유사암포함); 허혈심장질환진단비; 보험은은행의저축과는달리위험보장; 불의의사고를당한다른보험계약자에게지급되는보험금; 상해사망; 상해사망; 암진단비; 유사암진단비; 뇌졸중진단비; 급성심근경색증진단비
6416,DB,25,상품요약서,105,A4210,12,10,상해사망; 상해사망; 암진단비; 유사암진단비; 뇌졸중진단비; 급성심근경색증진단비; 상해사망; 상해사망; 암진단비; 유사암진단비; 뇌졸중진단비(갱신형); 급성심근경색증진단비(갱신형)
6417,DB,25,상품요약서,107,A4210,18,15,상해사망; 상해사망; 암진단비; 유사암진단비; 뇌졸중진단비(갱신형); 급성심근경색증진단비(갱신형); 상해사망; 상해사망; 암진단비; 유사암진단비; 뇌졸중진단비; 급성심근경색증진단비; 상해사망; 상해사망; 암진단비; 유사암진단비; 뇌졸중진단비; 급성심근경색증진단비
6418,DB,25,상품요약서,110,A4210,12,10,상해사망; 상해사망; 암진단비; 유사암진단비; 뇌졸중진단비; 급성심근경색증진단비; 상해사망; 상해사망; 암진단비; 유사암진단비; 뇌졸중진단비; 급성심근경색증진단비
6419,DB,25,상품요약서,112,A4210,12,10,상해사망; 상해사망; 암진단비; 유사암진단비; 뇌졸중진단비(갱신형); 급성심근경색증진단비(갱신형); 상해사망; 상해사망; 암진단비; 유사암진단비; 뇌졸중진단비(갱신형); 급성심근경색증진단비(갱신형)
7518,HANWHA,27,가입설계서,3,A9619_1,21,19,보험료납입면제대상보장; 화상진단비; 대유사암진단비; 대유사암진단비(기타피부암); 대유사암진단비(제자리암); 대유사암진단비(경계성종양); 대유사암진단비(갑상선암); 특정유사암항암방사선치료비(세부보장별각1회한); 항암방사선치료비(1회한); 항암약물치료비(1회한); 특정유사암항암약물치료비(세부보장별각1회한); 심근병증진단비; 주요심장염증질환진단비; 상해수술비; 
7520,HANWHA,27,가입설계서,6,A9619_1,13,10,고객님 님의 가입담보 보장; 보통약관의 보험금; 화상진단비; 대유사암진단비(기타피부암); 대유사암진단비(제자리암); 대유사암진단비(경계성종양); 대유사암진단비(갑상선암); 특정유사암항암방사선치료비(세부보장별각1회한); 를 받은 경우 세부보장; 세부보장; 항암방사선치료비(1회한); 항암약물치료비(1회한); 특정유사암항암약물치료비(세부보장별각1회한)
7521,HANWHA,27,가입설계서,7,A4104_1,4,3,심근병증진단비; 주요심장염증질환진단비; 고객님 님의 가입담보 보장; 상해수술비
7523,HANWHA,27,가입설계서,10,A5107_1,6,4,갑상선암및전립선암다빈치로봇수술비(1회한)(갱신형); 뇌혈관질환수술비(수술1회당); 허혈성심장질환수술비(수술1회당); 상해입원비(1일이상180일한도); 보통약관의 보험금; 질병입원비(1일이상180일한도)
7568,HANWHA,28,사업방법서,46,A4200_1,6,6,항암방사선약물치료비; 항암방사선약물치료비; 항암방사선약물치료비; 주요심장염증질환진단비; 상해사망; 질병사망
7757,HANWHA,29,상품요약서,24,A4200_1,1,1,세부보장
7759,HANWHA,29,상품요약서,29,A9617_1,3,3,주요심장염증질환진단비; 상해사망; 질병사망
7815,HANWHA,29,상품요약서,94,A4200_1,5,3,관련 보장 특별약관 및 무배당 질병치료 관련 보장; 상해사망; 보험료납입면제대상보장; 대유사암진단비; 뇌혈관질환진단비
8634,HEUNGKUK,31,가입설계서,6,A9640_1,15,14,보험료 납입면제대상보장; 일반상해사망; 질병사망; 골절진단비(치아파절제외); 화상진단비; 뇌졸중진단비; 허혈성심질환진단비; 주요심장염증질환진단비; 뇌혈관질환진단비; 뇌출혈진단비; 뇌졸중 혈전용해치료비(1회한); 특정허혈성심질환 혈전용해치료비(1회한); 암진단비(유사암제외); 유사암진단비; 고액치료비암진단비
8635,HEUNGKUK,31,가입설계서,8,A9630_1,18,15,항암방사선약물치료비; 표적항암약물허가치료비; 항암약물허가치료비(연간1회한)(갱신형_10년); 암직접치료입원비(요양병원제외)(1일-180일); 암수술비(유사암제외); 유사암수술비; 다빈치및레보아이로봇 암수술비(갑상선암 및 전립선암 제외)(최초1회한); 다빈치및레보아이로봇 암수술비(갑상선암 및 전립선암)(최초1회한); 일반상해입원비(1일-180일); 질병입원비
8636,HEUNGKUK,31,가입설계서,10,A4104_1,6,6,화상진단비; 뇌졸중진단비; 허혈성심질환진단비; 주요심장염증질환진단비; 뇌혈관질환진단비; 뇌출혈진단비
8637,HEUNGKUK,31,가입설계서,11,A9640_1,4,4,뇌졸중 혈전용해치료비(1회한); 특정허혈성심질환 혈전용해치료비(1회한); 암진단비(유사암제외); 유사암진단비
8639,HEUNGKUK,31,가입설계서,13,A9630_1,6,6,암수술비(유사암제외); 유사암수술비; 다빈치및레보아이로봇 암수술비(갑상선암 및 전립선암 제외)(최초1회한); 다빈치및레보아이로봇 암수술비(갑상선암 및 전립선암)(최초1회한); 일반상해입원비(1일-180일); 질병입원비(1일-180일)
8640,HEUNGKUK,31,가입설계서,14,A5107_1,4,4,상해수술비; 질병수술비; 뇌혈관질환수술비; 허혈성심질환수술비
8645,HEUNGKUK,32,사업방법서,3,A4104_1,3,3,"일반상해입원비(1일-30일); 반상해입원비(1일-30일); 간병인사용 일반상해입원비(요양,정신,한방병원제외)(151일이상)"
8646,HEUNGKUK,32,사업방법서,4,A4104_1,6,3,"조직병리 진단비(급여_연간1회한); 질병입원비(1일-30일); 종수술비; 질병입원비(요양,정신,한방병원제외)(151일이상); 간병통합서비스사용 질병입원비(요양,정신,한방병원제외)(151일이상); 암진단비(유방암 및 유사암제외)(면책없음,감액없음)"
